Конкурент,Блок анализа,Что обнаружено,Конкретные примеры / формулировки,Контентный вывод,Что можно взять для ФРК,Что не брать / риск
Putin Team,Главная и первый экран,"Первый экран работает как e-commerce-витрина: сверху сразу сервисное сообщение про бесплатную доставку, далее каталог, подборки, популярное. Главный смысл — официальный бренд с патриотической и спортивной идентичностью, но на главной товарная механика сильнее брендинга.",«Бесплатная доставка курьером от 10 000 ₽»; «Корпоративным клиентам»; «Подарки до 5000 рублей»; «Коллекция спорт»; «Стиль outdoor»; «Популярное»; «Только в магазинах -25%»; «Футболка “9 мая”»; «Футболка “Победа!”»; «Футболка триколор».,"Главная сразу переводит пользователя в покупку и акции. Брендовая идея есть, но спрятана глубже на странице «Бренд».","Использовать быстрый переход к подаркам, коллекциям, популярному и сервисному сообщению про доставку; брендовый смысл вынести выше.",Не начинать только с скидок/популярного: для ФРК важнее сначала объяснить культурную идею проекта.
,Шапка сайта,"Шапка насыщенная: каталог, подборки, блок «О компании», покупательские страницы, контакты, вход/регистрация, соцсети. Приоритеты: каталог, подарки, коллекции, сервис.","Меню: «Главная», «Корпоративным клиентам», «Подарки до 5000 рублей», «Подборки», «Коллекция спорт», «Стиль outdoor», «Бренд», «Новости», «Магазины», «Доставка и оплата», «Программа лояльности», «FAQ», «Подобрать размер», «Возврат».","Шапка показывает, что важны не только товары, но и сценарии: подарки, корпоративные клиенты, подбор размера, лояльность.","В ФРК в шапке предусмотреть «Каталог», «Коллекции», «Подарки», «Магазины», «Блог/Журнал», «Лояльность», поиск, избранное, корзину.",Риск — перегрузить шапку большим количеством сервисных ссылок; часть уводить в футер.
,Позиционирование и идея бренда,"Позиционирование раскрыто на странице «Бренд»: высокотехнологичная одежда российского производителя; продукт связан с комфортом, эстетикой, технологиями и осмысленным патриотизмом.","«бренд высокотехнологичной одежды от российского производителя»; «уникальный отечественный продукт, который сочетает в себе комфорт и эстетику, высокие технологии производства»; «Развитие идеи осмысленного патриотизма»; «красоту и силу России».","Полезная рамка: патриотизм через качество, технологии и современный продукт. Но формулировки местами декларативные.","Использовать идею «отечественный продукт + современная эстетика + культурные смыслы», но писать мягче.",Не брать прямолинейные формулы вроде «красота и сила России» как постоянный рефрен.
,Tone of voice,"Тон официальный, уверенный, декларативный. В новостях появляется рекламный стиль: акции, выгода, бонусы, розыгрыши.","«Не упустите выгодный шоппинг»; «Разыгрываем 5 футболок»; «самого масштабного гоночного турнира страны»; «игрушки с ценностью, смыслом и заботой о детях».","Подходит для массового официального бренда, но не даёт тонкой культурной интонации.",Взять понятность и отсутствие сложной fashion-абстракции.,Не брать избыток рекламных призывов и прямой пафос. ФРК лучше звучать спокойнее.
,Подача культурной / патриотической темы,"Патриотическая тема раскрывается прямо: страна, национальные символы, российский производитель, активная гражданская позиция, спортивные достижения.",«осмысленный патриотизм»; «национальное будущее»; «уникальная российская айдентика»; «красота и сила России»; «Сделано в России».,"Подача понятная, но близка к официальной декларации.","Связать российское производство, качество, культурную айдентику и современный образ страны.","Избегать частого прямого употребления «сила», «национальное будущее», «патриотизм» без точного контекста."
,Структура главной страницы,"Главная строится как магазин: популярное, скидки, новинки, быстрые переходы к коллекциям и сервисным разделам. Брендовая история глубже.",«Популярное»; «Только в магазинах -25%»; «Новинка»; «Футболка “Победа!”»; «Подарочные сертификаты»; «Магазины».,"Сильная коммерческая логика, слабее — ввод в идею бренда.","Для ФРК: брендовый первый экран, коллекции, каталог, подарочные сценарии, блог/истории, магазины.",Не делать главную только товарной витриной без объяснения отличия проекта.
,Каталог и названия разделов,"Каталог сочетает стандартные e-commerce категории и смысловые подборки: пол, тип одежды, аксессуары, отдельные коллекции.",«Мужчинам»; «Женщинам»; «Футболки и поло»; «Толстовки»; «Капсульная коллекция»; «Коллекция спорт»; «Стиль outdoor»; «Подарки до 5000 рублей».,Каталог работает по типу товара и по сценарию покупки.,"Делать не только «Футболки/Худи/Аксессуары», но и «Подарки», «Коллекции», «Для детей», «Для дома», «Новинки».",Не перегружать шапку мелкими подкатегориями.
,Карточка товара,"На уровне списка товаров акценты простые: название, цена, скидка, метка «новинка», «только в магазинах». Часть названий работает через событие/символ.",«Футболка “9 мая”»; «Футболка “Победа!”»; «Футболка триколор»; «Толстовка с капюшоном»; «Только в магазинах»; «Новинка».,"Названия передают символику, но без аккуратного описания могут уходить в прямолинейность.","В карточке ФРК раскрывать материал, идею принта/коллекции, сценарий использования, подарок/память/повседневность.",Не ограничиваться названием символа и характеристиками.
,Коллекции,"Коллекции оформлены как отдельные покупательские входы: спорт, outdoor, капсулы, «Красная машина».",«Коллекция спорт»; «Стиль outdoor»; «Капсульная коллекция»; «Красная машина».,"Коллекции понятны, но чаще работают как разделы каталога, а не полноценные истории.","Коллекции ФРК делать как смысловые страницы с короткой концепцией, визуальным блоком и подборкой товаров.",Не сводить коллекцию только к фильтру.
,Подарочные сценарии,Подарочный сценарий вынесен в меню и каталог через бюджетную подборку и сертификаты.,«Подарки до 5000 рублей»; «Подарочные сертификаты».,Хороший пример простого коммерческого сценария.,"Для ФРК подарки раскрыть шире: по получателю, событию, бюджету, смыслу, культурному контексту.",Не ограничиваться только сертификатом и ценовым фильтром.
,Магазины и офлайн-точки,"Магазины вынесены как отдельный раздел. В шапке есть контакты, телефон, мессенджеры, соцсети.",«Магазины»; телефон 8 800; график работы; соцсети VK/Rutube/Telegram/OK.,"Офлайн представлен скорее как сервисная точка, не как бренд-пространство.",Страницу магазинов ФРК сделать атмосферной: адреса + что можно увидеть/купить + почему стоит зайти.,Не делать страницу магазинов только списком адресов.
,Футер,"Футер дублирует каталог, компанию и клиентские разделы. Есть контакты, соцсети, оферта, политика, брендовая ссылка.","Группы: «Каталог», «Компания», «Клиенту»; «Новости», «Магазины», «Вакансии», «Контакты», «Доставка и оплата», «Возврат», «Программа лояльности», «FAQ», «Размеры», «Оферта».","Футер решает навигационную и сервисную задачу, но почти не усиливает бренд.","В футер ФРК вынести каталог, коллекции, блог/журнал, магазины, подарочные карты, лояльность, сервис, соцсети, короткое описание проекта.",Не делать футер только юридическим и техническим.
,Сервисные страницы и микротексты,"Сервисные тексты подробные и функциональные: доставка, оплата, лояльность, FAQ, подбор размера, возврат. Есть микротексты пустых состояний.",«Список избранного пуст»; «Избранные товары»; «1 товар добавлен»; «Есть вопросы?»; «Программа лояльности»; «Подобрать размер».,Хорошая сервисная база для fashion e-commerce.,"ФРК нужно прописать friendly-микротексты для пустого поиска, избранного, корзины, 404, оформления заказа.",Не оставлять системные фразы без бренда и помощи пользователю.
